SCHOOL_YEAR,STATENAME,ST,SCH_NAME,NCESSCH,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,SY_STATUS,SY_STATUS_TEXT,CHARTER_TEXT,GSLO,GSHI,LEVEL
2016-2017,ARIZONA,AZ,Tri-City College Prep High School,40021101975,5522 Side Road,,,Prescott,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,STAR Charter School,40021302100,145 Leupp Road,,,Flagstaff,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,The Shelby School,40021401980,249 W. Standage Drive,,,Payson,AZ,1,Open,Yes,KG,10,Other
2016-2017,ARIZONA,AZ,Mission Montessori Academy,40021702010,12990 E. Shea Blvd.,,,Scottsdale,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Burke Basic School,40021801913,131 E. Southern Ave.,,,Mesa,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,Career Success High School - Main Campus,40021902011,3816 N 27th Ave,,,Phoenix,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Career Success Jr/Sr High School - North Phoenix,40021902328,2321 East Bell Road,,,Phoenix,AZ,1,Open,Yes,07,12,High
2016-2017,ARIZONA,AZ,Career Success School - Sage Campus,40021902338,3120 N 32nd St,,,Phoenix,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Career Success High School - Glendale,40021902367,3816 N 27th ave,,,Phoenix,AZ,1,Open,Yes,07,12,High
2016-2017,ARIZONA,AZ,Kaizen Education Foundation dba South Pointe Elementary Scho,40022101921,2033 E. Southern Ave,,,Phoenix,AZ,1,Open,Yes,KG,06,Elementary
2016-2017,ARIZONA,AZ,Sonoran Science Academy - Tucson,40022302199,2325 W. Sunset Rd.,,,Tucson,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Horizon Community Learning Center,40022501887,16233 S. 48th St.,,,Phoenix,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,South Pointe Junior High School,40022702017,217 E. Olympic Dr.,,,Phoenix,AZ,1,Open,Yes,06,08,Middle
2016-2017,ARIZONA,AZ,Milestones Charter School,40022901918,4707 East Robert E Lee Street,,,Phoenix,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Imagine Cortez Park Elementary,40023002171,3535 W. Dunlap,,,Phoenix,AZ,1,Open,Yes,KG,05,Elementary
2016-2017,ARIZONA,AZ,James Madison Preparatory School,40023102021,5815 S. McClintock,,,Tempe,AZ,1,Open,Yes,07,12,High
2016-2017,ARIZONA,AZ,Self Development Charter School,40023202022,1709 N Greenfield,,,Mesa,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Avalon Elementary,40023503157,1045 South San Marcos,,,Apache Junction,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Paramount Academy,40023701925,11039 W Olive Ave,,,Peoria,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Metropolitan Arts Institute,40023801854,1700 N. 7th Ave.,,,Phoenix,AZ,1,Open,Yes,07,12,High
2016-2017,ARIZONA,AZ,Arts Academy at Estrella Mountain,40023902533,2504 South 91st Ave.,,,Tolleson,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Paradise Education Center,40024102029,15533 W. Paradise Ln.,,,Surprise,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Paradise Honors High School,40024102957,12775 N. 175th Avenue,,,Surprise,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Skyline Prep High School,40024302030,7500 N 40th Street,,,Phoenix,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Kinetic Educational Learning Labs for Youth,40024401855,1460 S. Horne,,,Mesa,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Sequoia Charter School,40024402153,1460 S. Horne St,,,Mesa,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Sequoia Village School,40024601856,982 Full House Lane,,,Show Low,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Telesis Preparatory Academy,40024801923,2598 Starlite Lane,,,Lake Havasu City,AZ,1,Open,Yes,09,12,High
